1==1,[in position #233->3969]
2==2,[in position #208->353]
3==3,[in position #51->1]
4==4,[in position #190->166]
5==5,[in position #160->1]
6==6,[in position #82->10]
7==7,[in position #66->2]
8==8,[in position #125->257]
9==9,[in position #57->22]
10==10,[in position #7->5]
11==11,[in position #146->513]
12==12,[in position #0->1]
13==13,[in position #128->782]
14==14,[in position #5->116]
15==15,[in position #218->4470]
16==16,[in position #173->339]
17==17,[in position #164->131]
18==18,[in position #124->74]
19==19,[in position #8->1]
20==20,[in position #26->17]
21==21,[in position #47->229]
22==22,[in position #22->4]
23==23,[in position #231->1]
24==24,[in position #137->22]
25==25,[in position #6->99]
26==26,[in position #129->1]
27==27,[in position #90->2]
28==28,[in position #13->5]
29==29,[in position #194->104]
30==30,[in position #14->5]
31==31,[in position #41->13]
32==32,[in position #70->1]
33==33,[in position #117->213]
34==34,[in position #151->15]
35==35,[in position #214->1]
36==36,[in position #25->24]
37==37,[in position #198->2]
38==38,[in position #1->1]
39==39,[in position #49->24]
40==40,[in position #221->68]
41==41,[in position #1->1]
42==42,[in position #191->2]
43==43,[in position #172->4]
44==44,[in position #93->9]
45==45,[in position #3->30]
46==46,[in position #141->97]
47==47,[in position #123->357]
48==48,[in position #132->245]
49==49,[in position #46->13]
50==50,[in position #83->159]
51==51,[in position #7->5]
52==52,[in position #34->3]
53==53,[in position #229->712]
54==54,[in position #77->7]
55==55,[in position #177->48]
56==56,[in position #21->90]
57==57,[in position #72->21]
58==58,[in position #109->17]
59==59,[in position #76->20]
60==60,[in position #117->213]
61==61,[in position #60->61]
62==62,[in position #164->131]
63==63,[in position #110->1]
64==64,[in position #167->1]
65==65,[in position #6->99]
66==66,[in position #221->68]
67==67,[in position #84->4294966553]
68==68,[in position #24->56]
69==69,[in position #26->17]
70==70,[in position #45->7]
71==71,[in position #151->15]
72==72,[in position #93->9]
73==73,[in position #78->12]
74==74,[in position #16->1]
75==75,[in position #63->6]
76==76,[in position #20->16]
77==77,[in position #185->453]
78==78,[in position #146->513]
79==79,[in position #90->2]
80==80,[in position #134->143]
81==81,[in position #232->4673]
82==82,[in position #20->16]
83==83,[in position #16->1]
84==84,[in position #156->216]
85==85,[in position #95->59]
86==86,[in position #35->22]
87==87,[in position #23->49]
88==88,[in position #120->261]
89==89,[in position #127->95]
90==90,[in position #168->1257]
91==91,[in position #224->5770]
92==92,[in position #41->13]
93==93,[in position #22->4]
94==94,[in position #68->666]
95==95,[in position #66->2]
96==96,[in position #60->61]
97==97,[in position #152->1917]
98==98,[in position #122->1]
99==99,[in position #70->1]
100==100,[in position #42->272]
101==101,[in position #161->54]
102==102,[in position #79->8]
103==103,[in position #65->3]
104==104,[in position #16->1]
105==105,[in position #97->2]
106==106,[in position #122->1]
107==107,[in position #115->66]
108==108,[in position #222->105]
109==109,[in position #219->7]
110==110,[in position #1->1]
111==111,[in position #56->25]
112==112,[in position #11->102]
113==113,[in position #10->7]
114==114,[in position #98->1]
115==115,[in position #56->25]
116==116,[in position #89->1363]
117==117,[in position #166->527]
118==118,[in position #70->1]
119==119,[in position #196->2125]
120==120,[in position #59->4]
121==121,[in position #135->409]
122==122,[in position #142->932]
123==123,[in position #71->416]
124==124,[in position #191->2]
125==125,[in position #57->22]
126==126,[in position #61->45]
127==127,[in position #170->2]
128==128,[in position #155->4294966722]
129==129,[in position #122->1]
130==130,[in position #94->71]
131==131,[in position #189->188]
132==132,[in position #129->1]
133==133,[in position #17->2]
134==134,[in position #60->61]
135==135,[in position #51->1]
136==136,[in position #39->190]
137==137,[in position #18->46]
138==138,[in position #140->49]
139==139,[in position #86->3]
140==140,[in position #156->216]
141==141,[in position #11->102]
142==142,[in position #26->17]
143==143,[in position #16->1]
144==144,[in position #199->4294967121]
145==145,[in position #94->71]
146==146,[in position #207->207]
147==147,[in position #7->5]
148==148,[in position #14->5]
149==149,[in position #120->261]
150==150,[in position #0->1]
151==151,[in position #48->22]
152==152,[in position #209->1848]
153==153,[in position #18->46]
154==154,[in position #170->2]
155==155,[in position #76->20]
156==156,[in position #40->15]
157==157,[in position #138->461]
158==158,[in position #63->6]
159==159,[in position #61->45]
160==160,[in position #108->2]
161==161,[in position #118->4294966666]
162==162,[in position #113->14]
163==163,[in position #124->74]
164==164,[in position #65->3]
165==165,[in position #158->18]
166==166,[in position #193->5]
167==167,[in position #120->261]
168==168,[in position #164->131]
169==169,[in position #28->4]
170==170,[in position #193->5]
171==171,[in position #110->1]
172==172,[in position #36->3]
173==173,[in position #128->782]
174==174,[in position #133->32]
175==175,[in position #63->6]
176==176,[in position #192->3]
