1==1,[in position #9971->1661]
2==2,[in position #9194->17742]
3==3,[in position #5502->2]
4==4,[in position #199->66]
5==5,[in position #6157->1453]
6==6,[in position #15->9]
7==7,[in position #4908->3750]
8==8,[in position #7273->140]
9==9,[in position #4760->1452]
10==10,[in position #5333->5]
11==11,[in position #4754->2237]
12==12,[in position #4185->38]
13==13,[in position #4217->2]
14==14,[in position #9171->491]
15==15,[in position #6504->90]
16==16,[in position #9476->169]
17==17,[in position #9924->6]
18==18,[in position #1641->67]
19==19,[in position #8087->1570]
20==20,[in position #6415->1]
21==21,[in position #7906->37]
22==22,[in position #1091->3]
23==23,[in position #5907->1]
24==24,[in position #7054->794]
25==25,[in position #6405->2]
26==26,[in position #3169->14]
27==27,[in position #6438->1]
28==28,[in position #1769->9]
29==29,[in position #5916->1682]
30==30,[in position #2646->23]
31==31,[in position #2490->3]
32==32,[in position #1309->1]
33==33,[in position #9603->2]
34==34,[in position #7643->1072]
35==35,[in position #7707->51]
36==36,[in position #6623->13]
37==37,[in position #8074->13]
38==38,[in position #2382->52]
39==39,[in position #3601->1218]
40==40,[in position #4931->5]
41==41,[in position #6082->818]
42==42,[in position #641->15]
43==43,[in position #2248->1]
44==44,[in position #6312->5]
45==45,[in position #8543->27]
46==46,[in position #4567->52]
47==47,[in position #52->444]
48==48,[in position #1175->2]
49==49,[in position #5763->542]
50==50,[in position #7513->51]
51==51,[in position #2343->24]
52==52,[in position #8427->7]
53==53,[in position #1709->1]
54==54,[in position #8750->1]
55==55,[in position #9407->936]
56==56,[in position #2298->9]
57==57,[in position #8356->2]
58==58,[in position #937->25]
59==59,[in position #5811->7]
60==60,[in position #9889->12324]
61==61,[in position #9508->32]
62==62,[in position #4419->5]
63==63,[in position #3521->38]
64==64,[in position #3804->8]
65==65,[in position #8576->1]
66==66,[in position #1127->2]
67==67,[in position #4850->788]
68==68,[in position #4211->185]
69==69,[in position #2427->4]
70==70,[in position #6652->5]
71==71,[in position #5628->84]
72==72,[in position #4618->89]
73==73,[in position #4383->37]
74==74,[in position #3038->28]
75==75,[in position #3999->232]
76==76,[in position #5180->158]
77==77,[in position #2710->361]
78==78,[in position #8599->182]
79==79,[in position #205->2]
80==80,[in position #9219->4175]
81==81,[in position #5410->373]
82==82,[in position #9031->1]
83==83,[in position #9042->5]
84==84,[in position #5969->2303]
85==85,[in position #9039->2]
86==86,[in position #5110->83]
87==87,[in position #7621->2]
88==88,[in position #1911->17]
89==89,[in position #7899->6896]
90==90,[in position #5900->20]
91==91,[in position #5536->57]
92==92,[in position #5735->12]
93==93,[in position #5104->2414]
94==94,[in position #3789->104]
95==95,[in position #553->68]
96==96,[in position #5345->472]
97==97,[in position #8462->20]
98==98,[in position #7915->133]
99==99,[in position #723->38]
100==100,[in position #3147->2]
101==101,[in position #2738->3]
102==102,[in position #4400->14]
103==103,[in position #3546->21]
104==104,[in position #4118->473]
105==105,[in position #983->97]
106==106,[in position #5100->288]
107==107,[in position #5201->4]
108==108,[in position #9661->101]
109==109,[in position #713->5]
110==110,[in position #1131->5]
111==111,[in position #7127->233]
112==112,[in position #3185->144]
113==113,[in position #6296->18]
114==114,[in position #401->252]
115==115,[in position #2625->789]
116==116,[in position #7230->7]
117==117,[in position #3921->1]
118==118,[in position #3278->32]
119==119,[in position #4501->11]
120==120,[in position #9162->295]
121==121,[in position #7462->118]
122==122,[in position #4964->1]
123==123,[in position #8363->687]
124==124,[in position #5449->10]
125==125,[in position #101->65]
126==126,[in position #8884->2799]
127==127,[in position #6221->88]
128==128,[in position #6978->1015]
129==129,[in position #6929->3]
130==130,[in position #9611->16]
131==131,[in position #9641->383]
132==132,[in position #9218->16]
133==133,[in position #2691->2]
134==134,[in position #675->549]
135==135,[in position #7569->4]
136==136,[in position #1205->1]
137==137,[in position #2349->123]
138==138,[in position #8248->13]
139==139,[in position #326->39]
140==140,[in position #994->6]
141==141,[in position #9424->1]
142==142,[in position #4762->10]
143==143,[in position #5055->33]
144==144,[in position #1214->37]
145==145,[in position #8748->8]
146==146,[in position #5360->59]
147==147,[in position #7622->167]
148==148,[in position #6353->541]
149==149,[in position #9601->1]
150==150,[in position #2284->12]
151==151,[in position #6569->195]
