1==1,[in position #776->5]
2==2,[in position #653->2]
3==3,[in position #324->3]
4==4,[in position #518->8]
5==5,[in position #950->4294965203]
6==6,[in position #1388->26]
7==7,[in position #1184->23]
8==8,[in position #1471->1]
9==9,[in position #1172->497]
10==10,[in position #631->1]
11==11,[in position #1118->229]
12==12,[in position #468->1]
13==13,[in position #423->24]
14==14,[in position #1322->11]
15==15,[in position #1212->33]
16==16,[in position #1218->207]
17==17,[in position #1453->23]
18==18,[in position #1292->40]
19==19,[in position #1200->15]
20==20,[in position #1346->5]
21==21,[in position #1196->13]
22==22,[in position #73->1]
23==23,[in position #1491->196]
24==24,[in position #1109->1]
25==25,[in position #1339->372]
26==26,[in position #1006->3]
27==27,[in position #93->105]
28==28,[in position #495->39]
29==29,[in position #701->4]
30==30,[in position #1412->1]
31==31,[in position #720->2]
32==32,[in position #151->4]
33==33,[in position #548->1]
34==34,[in position #251->1]
35==35,[in position #327->20]
36==36,[in position #1488->411]
37==37,[in position #38->15]
38==38,[in position #472->2]
39==39,[in position #1010->8]
40==40,[in position #778->5]
41==41,[in position #593->64]
42==42,[in position #54->3]
43==43,[in position #8->57]
44==44,[in position #493->16]
45==45,[in position #1409->544]
46==46,[in position #42->11]
47==47,[in position #1115->1]
48==48,[in position #112->2]
49==49,[in position #1296->1]
50==50,[in position #626->76]
51==51,[in position #271->1]
52==52,[in position #837->129]
53==53,[in position #922->396]
54==54,[in position #326->5]
55==55,[in position #1026->9]
56==56,[in position #322->3]
57==57,[in position #433->25]
58==58,[in position #1107->11]
59==59,[in position #497->3]
60==60,[in position #355->66]
61==61,[in position #1035->42]
62==62,[in position #544->3]
63==63,[in position #1138->24]
64==64,[in position #435->11]
65==65,[in position #1451->1]
66==66,[in position #1176->1]
67==67,[in position #1010->8]
68==68,[in position #525->34]
69==69,[in position #1249->20]
70==70,[in position #891->54]
71==71,[in position #1202->66]
72==72,[in position #140->2]
73==73,[in position #852->45]
74==74,[in position #181->12]
75==75,[in position #740->4]
76==76,[in position #383->13]
77==77,[in position #1106->61]
78==78,[in position #277->1]
79==79,[in position #372->61]
80==80,[in position #639->49]
81==81,[in position #826->14]
82==82,[in position #919->2]
83==83,[in position #1195->101]
84==84,[in position #618->25]
85==85,[in position #1325->12]
86==86,[in position #760->4]
87==87,[in position #799->14]
88==88,[in position #1253->10]
89==89,[in position #621->1]
90==90,[in position #766->31]
91==91,[in position #761->310]
92==92,[in position #844->117]
93==93,[in position #286->6]
94==94,[in position #997->4294965335]
95==95,[in position #954->51]
96==96,[in position #542->9]
97==97,[in position #259->5]
98==98,[in position #549->11]
99==99,[in position #831->4294964579]
100==100,[in position #317->12]
101==101,[in position #81->2]
102==102,[in position #566->1]
103==103,[in position #1407->4294966933]
104==104,[in position #1112->21]
105==105,[in position #242->1]
106==106,[in position #1428->278]
107==107,[in position #874->46]
108==108,[in position #1389->1]
109==109,[in position #1353->3]
110==110,[in position #634->1]
111==111,[in position #298->20]
112==112,[in position #298->20]
113==113,[in position #1062->1]
114==114,[in position #921->118]
115==115,[in position #998->6]
116==116,[in position #1373->2]
117==117,[in position #383->13]
118==118,[in position #218->4294962731]
119==119,[in position #1090->1]
120==120,[in position #819->21]
121==121,[in position #419->12]
122==122,[in position #571->1]
123==123,[in position #815->1]
124==124,[in position #185->21]
125==125,[in position #1234->4]
126==126,[in position #1440->50]
127==127,[in position #482->7]
128==128,[in position #33->1]
129==129,[in position #131->2]
130==130,[in position #1267->45]
131==131,[in position #110->12]
132==132,[in position #1122->4294965677]
133==133,[in position #1464->40]
134==134,[in position #1051->1]
135==135,[in position #8->57]
136==136,[in position #1059->8]
137==137,[in position #1030->1]
138==138,[in position #231->9]
139==139,[in position #614->8]
140==140,[in position #1034->47]
141==141,[in position #1066->492]
142==142,[in position #316->115]
143==143,[in position #1326->401]
144==144,[in position #275->4294962993]
145==145,[in position #526->8]
146==146,[in position #1302->37]
147==147,[in position #239->2]
148==148,[in position #1251->3]
149==149,[in position #1279->83]
150==150,[in position #289->4]
151==151,[in position #663->3]
152==152,[in position #465->153]
153==153,[in position #1158->31]
154==154,[in position #331->38]
155==155,[in position #306->1]
156==156,[in position #698->4294964194]
157==157,[in position #1173->252]
158==158,[in position #314->98]
159==159,[in position #384->3]
160==160,[in position #73->1]
161==161,[in position #901->58]
162==162,[in position #47->4294962386]
163==163,[in position #601->6]
164==164,[in position #923->12]
165==165,[in position #1239->1]
166==166,[in position #534->6]
167==167,[in position #1080->7]
168==168,[in position #529->24]
169==169,[in position #695->11]
170==170,[in position #1347->1]
171==171,[in position #1250->38]
172==172,[in position #40->4294962374]
173==173,[in position #1068->10]
174==174,[in position #1149->126]
175==175,[in position #251->1]
176==176,[in position #460->10]
177==177,[in position #939->2]
178==178,[in position #675->1]
179==179,[in position #584->15]
180==180,[in position #1305->25]
181==181,[in position #1410->154]
182==182,[in position #1329->4294966656]
183==183,[in position #210->75]
184==184,[in position #767->3]
185==185,[in position #163->10]
186==186,[in position #601->6]
187==187,[in position #1361->7]
188==188,[in position #1206->4]
189==189,[in position #716->146]
190==190,[in position #1446->2]
191==191,[in position #192->9]
192==192,[in position #287->1]
193==193,[in position #481->9]
194==194,[in position #227->3]
195==195,[in position #568->9]
196==196,[in position #447->28]
197==197,[in position #290->15]
198==198,[in position #195->5]
199==199,[in position #690->13]
200==200,[in position #212->14]
201==201,[in position #775->215]
202==202,[in position #112->2]
203==203,[in position #1267->45]
204==204,[in position #1377->4]
205==205,[in position #1115->1]
206==206,[in position #980->17]
207==207,[in position #1036->70]
208==208,[in position #718->31]
209==209,[in position #264->1]
210==210,[in position #507->9]
211==211,[in position #212->14]
212==212,[in position #586->181]
213==213,[in position #1332->3]
214==214,[in position #252->4]
215==215,[in position #42->11]
216==216,[in position #276->1]
217==217,[in position #994->4294965307]
218==218,[in position #1135->126]
219==219,[in position #798->3]
220==220,[in position #1078->3]
221==221,[in position #1086->4294965552]
222==222,[in position #1360->42]
223==223,[in position #867->7]
224==224,[in position #181->12]
225==225,[in position #374->3]
226==226,[in position #1233->22]
227==227,[in position #1354->2]
228==228,[in position #291->7]
229==229,[in position #645->3]
230==230,[in position #508->8]
231==231,[in position #665->7]
232==232,[in position #708->4294964218]
233==233,[in position #337->1]
234==234,[in position #199->18]
235==235,[in position #626->76]
236==236,[in position #666->1]
237==237,[in position #1235->7]
238==238,[in position #846->2]
239==239,[in position #429->17]
240==240,[in position #634->1]
241==241,[in position #1354->2]
242==242,[in position #854->41]
243==243,[in position #1065->1]
244==244,[in position #143->58]
245==245,[in position #499->2]
246==246,[in position #1341->151]
247==247,[in position #958->1]
248==248,[in position #1294->10]
249==249,[in position #866->2]
250==250,[in position #566->1]
251==251,[in position #866->2]
252==252,[in position #1259->55]
253==253,[in position #692->2]
254==254,[in position #1452->13]
255==255,[in position #866->2]
256==256,[in position #1258->169]
257==257,[in position #685->4294964165]
258==258,[in position #747->21]
259==259,[in position #1419->11]
260==260,[in position #810->30]
261==261,[in position #617->9]
262==262,[in position #690->13]
263==263,[in position #1257->4294966451]
264==264,[in position #812->97]
265==265,[in position #1277->25]
266==266,[in position #448->4294963379]
267==267,[in position #54->3]
268==268,[in position #112->2]
269==269,[in position #159->4]
270==270,[in position #1274->9]
271==271,[in position #327->20]
272==272,[in position #1385->459]
273==273,[in position #716->146]
274==274,[in position #116->4]
275==275,[in position #11->6]
276==276,[in position #104->5]
277==277,[in position #1282->2]
278==278,[in position #323->1]
279==279,[in position #968->65]
280==280,[in position #745->141]
281==281,[in position #805->14]
282==282,[in position #1101->8]
283==283,[in position #1200->15]
284==284,[in position #861->82]
285==285,[in position #830->358]
286==286,[in position #605->10]
287==287,[in position #24->17]
288==288,[in position #1187->2]
289==289,[in position #941->4]
290==290,[in position #942->4]
291==291,[in position #1299->4294966560]
292==292,[in position #149->13]
293==293,[in position #511->7]
294==294,[in position #1119->350]
295==295,[in position #385->2]
296==296,[in position #866->2]
297==297,[in position #1455->4294967246]
298==298,[in position #311->31]
299==299,[in position #1187->2]
300==300,[in position #1043->15]
301==301,[in position #990->2]
302==302,[in position #677->2]
303==303,[in position #106->4294962477]
304==304,[in position #84->30]
305==305,[in position #743->21]
306==306,[in position #464->1]
307==307,[in position #1398->4294966909]
308==308,[in position #483->54]
309==309,[in position #897->7]
310==310,[in position #170->9]
311==311,[in position #1011->4294965347]
312==312,[in position #678->35]
313==313,[in position #669->9]
314==314,[in position #1098->143]
315==315,[in position #99->8]
316==316,[in position #1367->59]
317==317,[in position #1109->1]
318==318,[in position #257->187]
319==319,[in position #88->9]
320==320,[in position #1193->77]
321==321,[in position #387->23]
322==322,[in position #329->2]
323==323,[in position #599->2]
324==324,[in position #895->1]
325==325,[in position #705->35]
326==326,[in position #753->10]
327==327,[in position #607->3]
328==328,[in position #933->251]
329==329,[in position #476->6]
330==330,[in position #511->7]
331==331,[in position #1102->74]
332==332,[in position #1032->363]
333==333,[in position #310->2]
334==334,[in position #296->17]
335==335,[in position #886->2]
336==336,[in position #1004->21]
337==337,[in position #474->14]
338==338,[in position #464->1]
339==339,[in position #1350->10]
340==340,[in position #1270->203]
