1==1,[in position #2983->3]
2==2,[in position #3209->181]
3==3,[in position #3474->5]
4==4,[in position #2894->3233]
5==5,[in position #444->1]
6==6,[in position #1074->1009]
7==7,[in position #2489->58]
8==8,[in position #950->10]
9==9,[in position #3976->160]
10==10,[in position #1620->266]
11==11,[in position #2728->48]
12==12,[in position #2425->3]
13==13,[in position #1086->902]
14==14,[in position #1148->6]
15==15,[in position #562->25]
16==16,[in position #3754->138]
17==17,[in position #53->118]
18==18,[in position #1740->10]
19==19,[in position #3063->3304]
20==20,[in position #2704->26]
21==21,[in position #2105->26]
22==22,[in position #1693->65]
23==23,[in position #690->8]
24==24,[in position #412->32]
25==25,[in position #542->841]
26==26,[in position #39->248]
27==27,[in position #2163->24]
28==28,[in position #3221->10]
29==29,[in position #130->69]
30==30,[in position #1542->10]
31==31,[in position #2473->646]
32==32,[in position #717->10]
33==33,[in position #690->8]
34==34,[in position #2092->2735]
35==35,[in position #69->4]
36==36,[in position #160->2]
37==37,[in position #568->3]
38==38,[in position #1653->16]
39==39,[in position #2318->1]
40==40,[in position #3436->1230]
41==41,[in position #2170->4]
42==42,[in position #1152->9]
43==43,[in position #3969->80]
44==44,[in position #2295->273]
45==45,[in position #2961->108]
46==46,[in position #158->25]
47==47,[in position #314->6]
48==48,[in position #1959->12]
49==49,[in position #1312->245]
50==50,[in position #2699->496]
51==51,[in position #1468->6]
52==52,[in position #179->1]
53==53,[in position #495->42]
54==54,[in position #2026->26]
55==55,[in position #1690->8]
56==56,[in position #917->1]
57==57,[in position #1818->483]
58==58,[in position #1866->774]
59==59,[in position #734->10]
60==60,[in position #254->7]
61==61,[in position #128->1]
62==62,[in position #2231->13]
63==63,[in position #2123->1]
64==64,[in position #2074->1]
65==65,[in position #1993->53]
66==66,[in position #3720->2]
67==67,[in position #2707->93]
68==68,[in position #1126->1]
69==69,[in position #1574->2154]
70==70,[in position #1986->57]
71==71,[in position #3662->75]
72==72,[in position #2653->6]
73==73,[in position #170->590]
74==74,[in position #1906->1697]
75==75,[in position #3207->1633]
76==76,[in position #3445->3813]
77==77,[in position #3002->501]
78==78,[in position #3316->5]
79==79,[in position #2567->1]
80==80,[in position #2193->90]
81==81,[in position #2633->418]
82==82,[in position #2977->470]
83==83,[in position #2711->3]
84==84,[in position #1503->203]
85==85,[in position #2813->5]
86==86,[in position #429->2]
87==87,[in position #1836->9]
88==88,[in position #894->58]
89==89,[in position #2615->435]
90==90,[in position #3498->8371]
91==91,[in position #1790->7]
92==92,[in position #2322->10]
93==93,[in position #1297->2]
94==94,[in position #3696->8649]
95==95,[in position #97->2]
96==96,[in position #2258->878]
97==97,[in position #3809->146]
98==98,[in position #1509->14]
99==99,[in position #918->7]
100==100,[in position #239->12]
101==101,[in position #247->432]
102==102,[in position #2671->56]
103==103,[in position #1219->130]
104==104,[in position #91->1]
105==105,[in position #569->1]
106==106,[in position #1357->16]
107==107,[in position #3524->726]
108==108,[in position #3128->19]
109==109,[in position #649->17]
110==110,[in position #1140->1]
111==111,[in position #1717->10]
112==112,[in position #3487->8]
113==113,[in position #932->141]
114==114,[in position #1989->6]
115==115,[in position #218->1552]
116==116,[in position #3481->74]
117==117,[in position #159->1]
118==118,[in position #2429->24]
119==119,[in position #3377->11]
120==120,[in position #3856->6572]
121==121,[in position #2061->446]
122==122,[in position #1660->15]
123==123,[in position #3113->369]
124==124,[in position #632->2]
125==125,[in position #3616->2]
126==126,[in position #1871->101]
127==127,[in position #2844->2092]
128==128,[in position #101->80]
129==129,[in position #1474->1]
130==130,[in position #2831->4]
131==131,[in position #3691->29254]
132==132,[in position #3260->5693]
133==133,[in position #1316->11]
134==134,[in position #1965->695]
135==135,[in position #1558->142]
136==136,[in position #1822->942]
137==137,[in position #1931->2068]
138==138,[in position #1091->4]
139==139,[in position #1117->6]
140==140,[in position #1478->2]
141==141,[in position #435->14]
142==142,[in position #2348->119]
143==143,[in position #1693->65]
144==144,[in position #1073->228]
145==145,[in position #1178->46]
146==146,[in position #2468->73]
147==147,[in position #1945->76]
148==148,[in position #1244->32]
149==149,[in position #1390->459]
150==150,[in position #3554->1214]
151==151,[in position #1876->3]
152==152,[in position #3852->459]
153==153,[in position #2518->201]
154==154,[in position #3788->35381]
155==155,[in position #3201->74]
156==156,[in position #980->17]
157==157,[in position #3851->4]
158==158,[in position #809->62]
159==159,[in position #3956->20]
160==160,[in position #1359->17]
161==161,[in position #1794->6]
162==162,[in position #1144->1]
163==163,[in position #2814->19]
164==164,[in position #981->3]
165==165,[in position #2814->19]
166==166,[in position #1562->3]
167==167,[in position #2023->36]
168==168,[in position #619->8]
169==169,[in position #1371->2]
170==170,[in position #552->622]
171==171,[in position #1552->1317]
172==172,[in position #3027->37]
173==173,[in position #2622->1]
174==174,[in position #2927->10]
175==175,[in position #3409->33]
176==176,[in position #1894->2]
177==177,[in position #1254->7]
178==178,[in position #3367->6]
179==179,[in position #670->511]
180==180,[in position #3298->1]
181==181,[in position #1409->8]
182==182,[in position #3230->29]
183==183,[in position #2034->19]
184==184,[in position #2340->104]
185==185,[in position #2861->2]
186==186,[in position #3511->16]
187==187,[in position #1592->18]
188==188,[in position #3219->1200]
189==189,[in position #3024->25]
190==190,[in position #987->5]
191==191,[in position #2494->1]
192==192,[in position #3075->214]
193==193,[in position #3840->2854]
194==194,[in position #1094->1128]
195==195,[in position #1522->1]
196==196,[in position #48->4294947720]
197==197,[in position #3317->121]
198==198,[in position #360->4294949436]
199==199,[in position #857->34]
200==200,[in position #2064->2]
201==201,[in position #10->1]
202==202,[in position #1880->2]
203==203,[in position #898->208]
204==204,[in position #2327->100]
205==205,[in position #1251->12]
206==206,[in position #1672->9]
207==207,[in position #3469->874]
208==208,[in position #1432->1132]
209==209,[in position #3706->1]
210==210,[in position #2970->86]
211==211,[in position #3667->2]
212==212,[in position #1084->99]
213==213,[in position #1196->3]
214==214,[in position #2054->81]
215==215,[in position #2586->1]
216==216,[in position #102->18]
217==217,[in position #1231->476]
218==218,[in position #1140->1]
219==219,[in position #120->12]
220==220,[in position #2495->7]
221==221,[in position #2310->434]
222==222,[in position #3721->1]
223==223,[in position #1148->6]
224==224,[in position #370->2313]
225==225,[in position #3281->63]
226==226,[in position #173->2]
227==227,[in position #3121->10]
228==228,[in position #2493->24]
229==229,[in position #3450->324]
230==230,[in position #3234->2341]
231==231,[in position #3939->9]
232==232,[in position #3930->1]
233==233,[in position #1126->1]
234==234,[in position #1808->420]

ERROR->[234]disambiguation cell : 3109
disambiguationContent : 1
final cell: 13491
final value:5405
5405 != 235

236==236,[in position #3510->7]
237==237,[in position #2736->155]
238==238,[in position #2216->1]
