1==1,[in position #367->2]
2==2,[in position #102->1]
3==3,[in position #352->7]
4==4,[in position #424->18]
5==5,[in position #503->1]
6==6,[in position #196->8]
7==7,[in position #377->134]
8==8,[in position #275->145]
9==9,[in position #298->19]
10==10,[in position #567->30]
11==11,[in position #504->2]
12==12,[in position #519->6]
13==13,[in position #509->9]
14==14,[in position #42->1]
15==15,[in position #450->10]
16==16,[in position #532->1]
17==17,[in position #477->2]
18==18,[in position #455->4]
19==19,[in position #195->36]
20==20,[in position #466->46]
21==21,[in position #219->272]
22==22,[in position #263->1]
23==23,[in position #257->1]
24==24,[in position #187->4294965615]
25==25,[in position #545->2]
26==26,[in position #579->2]
27==27,[in position #281->5]
28==28,[in position #370->48]
29==29,[in position #227->183]
30==30,[in position #405->30]
31==31,[in position #557->5]
32==32,[in position #26->4294965076]
33==33,[in position #467->51]
34==34,[in position #294->10]
35==35,[in position #82->45]
36==36,[in position #406->24]
37==37,[in position #43->120]
38==38,[in position #240->371]
39==39,[in position #562->1]
40==40,[in position #474->1]
41==41,[in position #51->1]
42==42,[in position #104->4]
43==43,[in position #203->12]
44==44,[in position #319->30]
45==45,[in position #349->31]
46==46,[in position #282->4]
47==47,[in position #137->4]
48==48,[in position #400->48]
49==49,[in position #150->253]
50==50,[in position #347->105]
51==51,[in position #356->269]
52==52,[in position #61->5]
53==53,[in position #553->2634]
54==54,[in position #211->2]
55==55,[in position #575->5831]
56==56,[in position #505->1]
57==57,[in position #392->831]
58==58,[in position #128->2]
59==59,[in position #271->360]
60==60,[in position #339->2097]
61==61,[in position #592->347]
62==62,[in position #455->4]
63==63,[in position #115->43]
64==64,[in position #111->597]
65==65,[in position #155->4]
66==66,[in position #18->8]
67==67,[in position #252->9]
68==68,[in position #194->41]
69==69,[in position #345->5]
70==70,[in position #115->43]
71==71,[in position #524->3521]
72==72,[in position #267->9]
73==73,[in position #257->1]
74==74,[in position #284->65]
75==75,[in position #571->515]
76==76,[in position #50->3]
77==77,[in position #281->5]
78==78,[in position #541->425]
79==79,[in position #297->33]
80==80,[in position #188->22]
81==81,[in position #571->515]
82==82,[in position #253->16]
83==83,[in position #555->2631]
84==84,[in position #108->129]
85==85,[in position #570->4]
86==86,[in position #532->1]
87==87,[in position #99->7]
88==88,[in position #326->46]
89==89,[in position #570->4]
90==90,[in position #496->7]
91==91,[in position #28->2]
92==92,[in position #202->12]
93==93,[in position #380->638]
94==94,[in position #269->4]
95==95,[in position #526->273]
96==96,[in position #185->429]
97==97,[in position #65->2]
98==98,[in position #491->16]
99==99,[in position #474->1]
100==100,[in position #3->1]
101==101,[in position #197->3]
102==102,[in position #431->3]
103==103,[in position #295->1]
104==104,[in position #488->3]
105==105,[in position #293->75]
106==106,[in position #457->107]
107==107,[in position #363->2]
108==108,[in position #262->19]
109==109,[in position #357->6]
110==110,[in position #471->1046]
111==111,[in position #211->2]
112==112,[in position #336->261]
113==113,[in position #313->115]
114==114,[in position #64->2]
115==115,[in position #34->66]
116==116,[in position #4->262]
117==117,[in position #447->29]
118==118,[in position #505->1]
119==119,[in position #402->30]
120==120,[in position #362->2]
121==121,[in position #54->5]
122==122,[in position #197->3]
123==123,[in position #43->120]
124==124,[in position #283->1]
125==125,[in position #261->44]
126==126,[in position #263->1]
127==127,[in position #345->5]
128==128,[in position #459->4]
129==129,[in position #455->4]
130==130,[in position #74->26]
131==131,[in position #377->134]
132==132,[in position #294->10]
133==133,[in position #303->4]
134==134,[in position #283->1]
135==135,[in position #383->2]
136==136,[in position #453->4]
137==137,[in position #114->22]
138==138,[in position #40->17]
139==139,[in position #64->2]
140==140,[in position #125->4]
141==141,[in position #402->30]
142==142,[in position #144->2]
143==143,[in position #505->1]
144==144,[in position #107->141]
145==145,[in position #245->24]
146==146,[in position #69->1]
147==147,[in position #578->891]
148==148,[in position #435->75]
149==149,[in position #205->1]
150==150,[in position #463->1234]
151==151,[in position #321->150]
152==152,[in position #492->2]
153==153,[in position #318->8]
154==154,[in position #334->4]
155==155,[in position #161->24]
156==156,[in position #80->1]
157==157,[in position #435->75]
158==158,[in position #142->4]
159==159,[in position #136->94]
160==160,[in position #366->112]
161==161,[in position #468->1339]
162==162,[in position #458->322]
163==163,[in position #132->10]
164==164,[in position #365->97]
165==165,[in position #353->1034]
166==166,[in position #240->371]
167==167,[in position #471->1046]
168==168,[in position #127->9]
169==169,[in position #283->1]
170==170,[in position #45->17]
171==171,[in position #245->24]
172==172,[in position #177->7]
173==173,[in position #230->12]
174==174,[in position #332->8]
175==175,[in position #407->4]
176==176,[in position #504->2]
177==177,[in position #81->294]
178==178,[in position #49->207]
179==179,[in position #543->105]
